School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,CompletionRate150,Admission Rate (%),RetentionRate,SAT Average,x0_Private ForProfit,x0_Private NonProfit,x0_Public
The Baptist College of Florida,100.0,58380.0,268.0,19926.0,50.0,75.56,75.0,1055.0,0.0,1.0,0.0
Barry University,45.29,105660.0,3249.0,47118.0,36.17,65.3,68.12,1127.159640926199,0.0,1.0,0.0
Bethune-Cookman University,100.0,81240.0,2746.0,30219.0,33.06,97.73,73.17,919.0,0.0,1.0,0.0
Lynn University,48.61,69276.0,2452.0,55651.0,58.650000000000006,78.68,72.55,1123.9243400989396,0.0,1.0,0.0
Albizu University-Miami,100.0,66648.0,144.0,40503.0,50.0,78.72,100.0,1063.9155475161624,0.0,1.0,0.0
Johnson University Florida,100.0,66060.0,159.0,27611.0,40.48,37.31,50.0,980.0,0.0,1.0,0.0
University of Central Florida,98.46,130176.0,61111.0,21309.0,74.0,45.17,92.15,1261.0,0.0,0.0,1.0
South University-West Palm Beach,42.03,78744.0,415.0,28179.0,11.54,89.6285305516727,25.0,1019.5560553526291,1.0,0.0,0.0
Eckerd College,87.63,100500.0,1819.0,63342.0,64.51,68.58,79.81,1203.2013579637219,0.0,1.0,0.0
Edward Waters University,100.0,59700.0,969.0,26503.0,27.92,57.03,53.59,903.0,0.0,1.0,0.0
Embry-Riddle Aeronautical University-Daytona Beach,92.83,117336.0,6399.0,54724.0,61.51,60.6,79.3,1240.0,0.0,1.0,0.0
